,proverb,translation,
2541,காட்டில் ஆனையைக் காட்டி வீட்டில் பெண்ணைக் கொடுக்கிறதா?,Is it to give a girl in marriage when an elephant in the jungle is shown as dower?,
2542,காட்டிலே செத்தாலும் வீட்டிலேதான் தீட்டு.,"Though a man dies in the jungle, ceremonial uncleanness will attach to his house.",
2543,காட்டுப் பூனைக்குச் சிவராத்திரி விரதமா ?,Does the wild cat observe the fast of Sivaratri?,
2544,காட்டுக்கு எறித்த நிலாவும் கானலுக்குப் பெய்த மழையும்.,Moonlight in the jungle and rain in the plains.,
2545,காட்டு வாழை வந்தால் வீட்டு வாழ்வு போகும்.,"When wild plantains come, domestic prosperity will vanish.",
2546,காட்டுப் பேய்ச்சுரைக்காய் கறிக்கு ஆகுமா?,Is a wild gourd fit for curry?,
2547,காட்டுக் கோழிக்கு உரற் குழியே கைலாசம்.,The hole in a mortar is paradise to a jungle fowl.,
2548,காட்டுப் பூச்சிகள் எதிர்த்த கதை ஆச்சு.,It has become the story of wild insects offering resistance.,
2549,காணக் கிடைத்தது கார்த்திகைப் பிறைபோல.,That which was seen was like the new moon of November.,
2550,காணப்பட்டன எல்லாம் அழியப்பட்டன.,All that is seen is temporary.,
2551,காணாமல் கண்டேனோ கம்பங்கதிரே சிந்தாமல் குத்தடி சில்லி மூக்கே?,"Have I seen kambu-millet for the first time, pound it without scattering thou nose bleeding woman?",
2552,காணி ஆளன் வீடு வேகச்சே காலைப் பிடித்து இழுத்த கதை.,The story of one pulling by the feet the landlord whose house was on fire.,
2553,காணி ஏறக் கோடி அழியும்.,While ⁠1/80,
2554,⁠ is added a crore is destroyed.,காணி கவிழ்ந்து போகிறதா?Does land turn upside down?,
2555,காணி காணியாய்ச் சம்பாதித்துக் கோடி கோடியாய்ச் செலவழிக்க வேண்டும்.,We must acquire by eightieths and spend by crores.,
2556,காணிக்கு ஒத்தது கோடிக்கு.,"The profit or loss on an eightieth part of a unit, will determine that on a crore.",
2557,காணி சோம்பல் கோடி வருத்தம்.,A little indolence creates great trouble.,
2558,காணி மந்தம் கோடி துக்கம்.,A little indolence will bring great sorrow.,
2559,காதம் விட்டு இருகாதம் சுற்றுகிறதுபோல.,Like ranging over the distance of two kathams instead of one.,
2560,காதம் கொடுத்து இருகாதம் வாங்குகிறதுபோல.,Like giving a katham and getting two.,
2561,காதவழி போய் அறியாதான் மாதம் எல்லாம் நடந்தானாம்.,He who never walked a katham is said to have walked a whole month.,
